               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11388,            0.020234,            0.038304,          0.00021624,            0.034316,          0.00013182,          2.4729e-05,             0.10882,            0.019726,            0.037054,            0.070375,           0.0032917,           0.0032917
                   1,             0.11024,            0.021534,            0.037573,          0.00030878,            0.046878,          0.00016912,           4.414e-05,             0.10781,            0.020178,            0.037239,            0.039719,           0.0059691,           0.0059691
                   2,             0.10504,            0.024202,            0.036527,          0.00021341,             0.03354,          0.00011121,          1.8748e-05,             0.12872,            0.030877,             0.05899,           0.0084033,           0.0079866,           0.0079866
                   3,             0.10088,             0.02487,            0.036047,          0.00034359,            0.053254,          0.00018835,          3.6388e-05,             0.12542,            0.017588,            0.070622,             0.00703,             0.00703,             0.00703
                   4,             0.09712,            0.026196,            0.035982,           0.0010664,             0.15896,          0.00092916,          0.00020906,             0.10834,            0.015941,            0.044516,             0.00703,             0.00703,             0.00703
                   5,            0.089533,            0.027441,            0.034713,            0.054378,             0.16994,            0.050259,            0.012394,            0.094392,            0.017419,            0.038198,             0.00604,             0.00604,             0.00604
                   6,            0.083256,            0.025018,             0.03471,            0.063449,             0.32421,            0.061332,            0.016481,            0.080186,            0.018496,             0.03647,             0.00505,             0.00505,             0.00505
                   7,            0.075858,             0.02261,            0.034794,             0.10905,              0.4217,             0.13546,            0.039286,            0.069747,            0.019408,             0.03524,             0.00406,             0.00406,             0.00406
                   8,            0.071246,            0.023025,            0.033985,             0.14673,             0.41655,             0.14891,            0.049575,            0.064363,             0.01985,            0.035174,             0.00307,             0.00307,             0.00307
                   9,             0.06762,            0.022153,            0.035274,             0.18395,             0.50056,             0.19484,            0.071589,            0.060088,            0.019338,            0.035066,             0.00208,             0.00208,             0.00208
