               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038434,            0.014325,            0.031333,             0.47491,             0.83187,             0.56082,             0.33077,            0.035595,            0.011047,            0.031287,            0.070375,           0.0032917,           0.0032917
                   1,            0.040226,            0.013482,            0.031587,             0.46349,             0.81804,             0.55238,             0.27623,             0.03901,            0.011099,            0.031344,            0.040309,           0.0065594,           0.0065594
                   2,            0.045999,              0.0144,            0.031438,             0.33042,             0.82349,              0.4508,             0.21935,            0.041106,            0.011952,            0.033213,            0.010178,           0.0097612,           0.0097612
                   3,            0.049646,            0.014642,            0.032331,             0.41231,             0.82314,             0.52124,             0.24563,            0.043485,            0.011692,            0.031562,            0.009703,            0.009703,            0.009703
                   4,            0.050081,            0.014616,             0.03193,             0.47644,             0.83887,             0.53659,             0.23925,            0.043246,            0.011505,            0.031677,            0.009703,            0.009703,            0.009703
                   5,             0.04929,            0.015617,            0.031796,              0.4219,             0.78255,             0.51083,             0.19552,            0.043746,            0.011144,            0.031383,            0.009604,            0.009604,            0.009604
                   6,             0.04655,            0.014738,            0.031079,             0.48028,             0.81031,             0.56725,             0.23753,            0.048157,            0.025548,            0.031107,            0.009505,            0.009505,            0.009505
                   7,            0.046164,            0.014123,            0.031978,             0.47423,             0.80479,             0.54915,             0.24797,            0.044241,            0.012332,            0.031301,            0.009406,            0.009406,            0.009406
                   8,            0.047952,             0.01506,            0.031404,             0.47422,             0.84751,             0.56223,             0.27449,            0.043742,            0.012634,             0.03165,            0.009307,            0.009307,            0.009307
                   9,            0.045745,            0.014564,            0.032152,             0.46438,             0.82125,             0.56803,             0.31314,            0.041174,            0.011916,            0.030996,            0.009208,            0.009208,            0.009208
                  10,            0.046215,            0.014588,             0.03091,             0.48662,             0.79793,             0.56348,             0.29427,             0.04331,            0.011638,            0.030708,            0.009109,            0.009109,            0.009109
                  11,            0.046066,            0.014445,            0.031735,             0.50347,             0.83423,             0.56153,             0.28255,            0.038408,            0.011554,            0.030918,             0.00901,             0.00901,             0.00901
